marathi_word,sentiment_label,pos_score,neg_score,obj_score,english_translation,synset_id,pos
नवा,neutral,0.125,0.10416666666666667,0.7708333333333334,new,101,adjective
कच्चा,-,0.10714285714285714,0.375,0.5178571428571429,raw,101,adjective
अकुशल,-,0.16666666666666666,0.5,0.3333333333333333,unskilled,101,adjective
अयोग्य,-,0.1875,0.75,0.0625,inappropriate,101,adjective
नालायक,neutral,0.0,0.0,1.0,uninterrupted,101,adjective
अकार्यक्षम,neutral,0.0,0.0,1.0,incurred,101,adjective
वाघीण,neutral,0.0,0.0,1.0,tiger,11,noun
वेउळी,neutral,0.041666666666666664,0.041666666666666664,0.9166666666666666,velvet,11,noun
नवशिका,-,0.09375,0.28125,0.625,nerve,101,adjective
नवीन,neutral,0.125,0.10416666666666667,0.7708333333333334,new,101,adjective
अव्यवस्थित,-,0.0,0.125,0.875,disorganized,101,adjective
अजागळ,neutral,0.125,0.16666666666666666,0.7083333333333334,strange,101,adjective
गबाळा,-,0.05,0.15,0.8,scuffle,101,adjective
मूर्ख,-,0.0,0.34375,0.65625,stupid,101,adjective
बावळा,neutral,0.0,0.0,1.0,cranial,101,adjective
बावळट,-,0.0625,0.25,0.6875,extravagant,101,adjective
अज्ञानी,-,0.0,0.25,0.75,ignorant,101,adjective
मूढ,neutral,0.0,0.0,0.0,fenugent,101,adjective
जड,neutral,0.03571428571428571,0.05357142857142857,0.9107142857142857,heavily,101,adjective
मंद,-,0.10526315789473684,0.16447368421052633,0.7302631578947368,dull,101,adjective
निर्बुद्ध,neutral,0.0,0.0,1.0,uninterrupted,101,adjective
मठ्ठ,+,0.1875,0.020833333333333332,0.7916666666666666,elaborate,101,adjective
बेअक्कल,-,0.0625,0.4375,0.5,impotent,101,adjective
शंख,neutral,0.0,0.0,1.0,conch,101,adjective
बिनडोक,-,0.0,0.75,0.25,unwilling,101,adjective
अडाणी,neutral,0.03125,0.03125,0.9375,rustic,101,adjective
ढ,+,0.25,0.0375,0.7125,fine,101,adjective
ठोंब्या,neutral,0.0,0.0,0.0,to bend,101,adjective
अर्धवट,+,0.2,0.0,0.8,partial,101,adjective
बेअक्कली,-,0.0,0.34375,0.65625,unconscious,101,adjective
भोट,neutral,0.0,0.0,1.0,bucket,101,adjective
खेंदड,neutral,0.0,0.0,1.0,platform,101,adjective
खेंदाड,-,0.025,0.175,0.8,agitation,101,adjective
अप्रचलित,-,0.0,0.125,0.875,obsolete,101,adjective
चलनात_नसलेला,neutral,0.0,0.0,1.0,currency -out,101,adjective
प्रवीण,+,0.375,0.0,0.625,proficient,101,adjective
निपुण,+,0.375,0.0,0.625,masterpiece,101,adjective
हुशार,+,0.3055555555555556,0.2222222222222222,0.4722222222222222,smart,101,adjective
कुशल,+,0.625,0.0,0.375,skilled,101,adjective
जाणता,+,0.15625,0.0390625,0.8046875,knowing,101,adjective
पारंगत,+,0.5,0.0625,0.4375,impartial,101,adjective
जाणकार,+,0.4166666666666667,0.0,0.5833333333333334,knowledgeable,101,adjective
निष्णात,+,0.075,0.0,0.925,assimilated,101,adjective
तज्ज्ञ,+,0.20833333333333334,0.0,0.7916666666666666,expert,101,adjective
तरबेज,-,0.0,0.08088235294117647,0.9191176470588235,scratch,101,adjective
वाकबगार,neutral,0.008928571428571428,0.026785714285714284,0.9642857142857143,tip,101,adjective
हातखंडा,neutral,0.0,0.0,1.0,handcuff,101,adjective
पटाईत,neutral,0.1,0.075,0.825,adolescent,101,adjective
तज्ञ,+,0.20833333333333334,0.0,0.7916666666666666,expert,101,adjective
फरडा,neutral,0.057692307692307696,0.04807692307692308,0.8942307692307693,fed,101,adjective
विशारद,neutral,0.21875,0.1875,0.59375,excitement,101,adjective
कसबी,neutral,0.015625,0.0,0.984375,tick,101,adjective
योग्य,neutral,0.041666666666666664,0.0,0.9583333333333334,appropriate,101,adjective
लायक,+,0.3333333333333333,0.0,0.6666666666666666,acclaim,101,adjective
समर्थ,+,0.15625,0.0,0.84375,able,101,adjective
सक्षम,+,0.375,0.0,0.625,enabled,101,adjective
पात्र,+,0.2375,0.0,0.7625,character,101,adjective
काबील,neutral,0.0,0.0,0.0,kabil,101,adjective
पाठाउ,neutral,0.049107142857142856,0.013392857142857142,0.9375,back,101,adjective
सभ्य,+,0.25,0.03125,0.71875,civilized,101,adjective
शिष्ट,+,0.39285714285714285,0.0,0.6071428571428571,decent,101,adjective
शालीन,neutral,0.0,0.0,0.0,shalin,101,adjective
चांगला,+,0.5694444444444444,0.004629629629629629,0.42592592592592593,good,101,adjective
भला,+,0.5694444444444444,0.004629629629629629,0.42592592592592593,good,101,adjective
नरभक्षक,neutral,0.0,0.0,1.0,cannibal,101,adjective
नवरत्ने,neutral,0.0,0.015625,0.984375,ribs,149,noun
पोरका,neutral,0.0,0.0,0.0,pora,101,adjective
बेवारशी,-,0.0,0.34375,0.65625,stupid,101,adjective
अनाथ,neutral,0.0,0.025,0.975,orphan,101,adjective
असहाय,-,0.08333333333333333,0.4583333333333333,0.4583333333333333,helplessness,101,adjective
निराश्रित,-,0.015625,0.203125,0.78125,depressed,101,adjective
निराधार,-,0.0,0.5,0.5,unfounded,101,adjective
अगतिक,-,0.0,0.475,0.525,invalid,101,adjective
पितृहीन,neutral,0.0,0.0,1.0,patriarchy,111,adjective
साधनविहिन,+,0.05555555555555555,0.0,0.9444444444444444,instrument,111,adjective
सनाथ,neutral,0.017857142857142856,0.0,0.9821428571428571,sun,101,adjective
कोल्ही,neutral,0.0,0.0,1.0,chilli,11,noun
कोल्हीण,neutral,0.0,0.0,0.0,kolish,11,noun
साधार,neutral,0.2638888888888889,0.2638888888888889,0.4722222222222222,simple,101,adjective
मातृहीन,neutral,0.0,0.0,1.0,maternal,111,adjective
साधनसंपन्न,neutral,0.0,0.0,1.0,residential,111,adjective
साधनयुक्त,neutral,0.0,0.0,1.0,mechanical,111,adjective
अपमान,-,0.0,0.20833333333333334,0.7916666666666666,insult,59,noun
अवमान,-,0.125,0.34375,0.53125,contempt,59,noun
बेअब्रू,neutral,0.0,0.0,0.0,beabru,59,noun
अनादर,-,0.175,0.55,0.275,disrespect,59,noun
अशिष्टता,-,0.3125,0.375,0.3125,dishonesty,45,noun
सत्कार,+,0.30357142857142855,0.0,0.6964285714285714,honor,45,noun
सन्मान,+,0.30357142857142855,0.0,0.6964285714285714,honor,45,noun
देव,neutral,0.03125,0.0,0.96875,god,155,noun
ईश्वर,neutral,0.03125,0.0,0.96875,god,155,noun
परमेश्वर,neutral,0.03125,0.0,0.96875,god,155,noun
प्रभू,neutral,0.0,0.0,1.0,lord,155,noun
भगवंत,neutral,0.03125,0.0,0.96875,god,155,noun
ईश,neutral,0.0,0.0,0.0,ish,155,noun
परमात्मा,+,0.25,0.0375,0.7125,divine,155,noun
बाप्पा,neutral,0.0,0.0,0.0,bappa,155,noun
भगवान,neutral,0.0,0.0,1.0,lord,155,noun
दैवत,neutral,0.0,0.0,1.0,deity,155,noun
निनावी,-,0.0625,0.5,0.4375,anonymous,101,adjective
दिव्य_शक्ती,neutral,0.0,0.0,0.0,divine_,47,noun
सर्वोच्च_शक्ती,neutral,0.0,0.0,0.0,supreme_,47,noun
नामक,neutral,0.0,0.017857142857142856,0.9821428571428571,nominal,92,adjective
नावाचा,+,0.075,0.0,0.925,nominated,92,adjective
नामा,neutral,0.058333333333333334,0.008333333333333333,0.9333333333333333,name,92,adjective
अचानक,-,0.0,0.5,0.5,sudden,95,adverb
अकस्मात,-,0.0,0.875,0.125,abusive,95,adverb
एकाएकी,neutral,0.0,0.0,1.0,abruptly,95,adverb
एकदम,neutral,0.0,0.0,1.0,atmosphere,95,adverb
अचानकपणे,-,0.0,0.5,0.5,sudden,95,adverb
अवचित,-,0.041666666666666664,0.20833333333333334,0.75,unattended,95,adverb
सहज,+,0.2916666666666667,0.0,0.7083333333333334,easily,95,adverb
सहजासहजी,+,0.2916666666666667,0.0,0.7083333333333334,easily,95,adverb
विनासायास,-,0.0,0.75,0.25,unwilling,95,adverb
घरबसल्या,neutral,0.014705882352941176,0.0,0.9852941176470589,home,95,adverb
अनायासे,neutral,0.0,0.0,0.0,anyasee,95,adverb
आयता,neutral,0.0,0.0,1.0,rectangle,95,adverb
आपोआप,+,0.1875,0.0,0.8125,automatically,95,adverb
आपाप,neutral,0.0,0.0,0.0,omnibly,95,adverb
प्रयत्नपूर्वक,neutral,0.0,0.0,0.0,effortly,95,adverb
प्रयत्नाने,-,0.0,0.25,0.75,by effort,95,adverb
सायासाने,neutral,0.0,0.0,0.0,siaosa,95,adverb
अनावरण,neutral,0.0,0.0,1.0,unveiled,62,noun
कचनार,neutral,0.0,0.0,0.0,exclaimer,23,noun
कांचन,neutral,0.0,0.010416666666666666,0.9895833333333334,glass,23,noun
बहावा,-,0.025,0.375,0.6,pretense,28,noun
कर्णिकार,-,0.0,0.07142857142857142,0.9285714285714286,diagonal,28,noun
उद्घाटन,neutral,0.0,0.0,1.0,inauguration,52,noun
कंपोस्ट,neutral,0.0,0.0,1.0,compost,28,noun
कपोस्ट_खत,neutral,0.0,0.0,0.0,cupost_,28,noun
गौप्यस्फोट,neutral,0.0,0.0,0.0,gauupas,44,noun
रहस्यभेद,+,0.15625,0.03125,0.8125,identity,44,noun
पडदाफाश,neutral,0.0,0.0,1.0,curtain,44,noun
विस्कळित,-,0.0,0.125,0.875,shattered,101,adjective
अस्ताव्यस्त,-,0.125,0.5208333333333334,0.3541666666666667,awkward,101,adjective
निरंकुश,neutral,0.0,0.0,0.0,unaccounted,101,adjective
बेलगाम,-,0.0,0.75,0.25,unwilling,101,adjective
बेबंद,-,0.0,0.625,0.375,unprovoked,101,adjective
अंधानुकरण,neutral,0.0,0.0,1.0,blindness,52,noun
अनुकूलता,neutral,0.0,0.0,1.0,concession,84,noun
दयाळूपणा,+,0.3333333333333333,0.125,0.5416666666666666,kindness,45,noun
सहृदयता,+,0.375,0.0,0.625,gentleness,45,noun
सुसंगती,neutral,0.0625,0.03125,0.90625,consistency,79,noun
सुसंगतता,neutral,0.0625,0.03125,0.90625,consistency,79,noun
संबद्धता,+,0.1875,0.0,0.8125,concerning,79,noun
सामंजस्य,-,0.0,0.16666666666666666,0.8333333333333334,recovery,46,noun
ताळमेळ,neutral,0.0,0.0,1.0,finally,46,noun
सुरुवात,neutral,0.011363636363636364,0.028409090909090908,0.9602272727272727,start,79,noun
सुरवात,neutral,0.0,0.0,1.0,onset,79,noun
प्रारंभ,neutral,0.011363636363636364,0.028409090909090908,0.9602272727272727,start,79,noun
आरंभ,neutral,0.041666666666666664,0.0,0.9583333333333334,commencement,79,noun
श्रीगणेशा,neutral,0.0,0.0,0.0,shriganesha,79,noun
ओनामा,neutral,0.0,0.0,0.0,onama,79,noun
नांदी,neutral,0.0,0.0,1.0,vet,79,noun
मुहूर्त,neutral,0.0,0.0,0.0,muhurt,79,noun
नग्नता,-,0.125,0.375,0.5,nudity,79,noun
नागवेपणा,-,0.0,0.125,0.875,snake,79,noun
मातृका,+,0.25,0.0,0.75,maternity,27,noun
मात्रुका,-,0.0,0.125,0.875,quantity,27,noun
पर्णिका,neutral,0.017857142857142856,0.0,0.9821428571428571,fellow,28,noun
स्पष्टपणा,+,0.4375,0.125,0.4375,clarity,79,noun
स्पष्टता,+,0.4375,0.125,0.4375,clarity,79,noun
निःसंदिग्धपणा,-,0.125,0.3125,0.5625,unintentional,79,noun
निःसंदिग्धता,+,0.5,0.0,0.5,undoubtedly,79,noun
गोपनीयता,+,0.3125,0.0625,0.625,privacy,79,noun
गुप्तता,+,0.125,0.0625,0.8125,secrecy,79,noun
गूढता,+,0.125,0.0,0.875,mystery,79,noun
गौप्यता,neutral,0.0625,0.03125,0.90625,duplicate,79,noun
प्रच्छन्नता,-,0.0,0.375,0.625,pervasiveness,79,noun
गुह्यता,neutral,0.0,0.0,1.0,cavity,79,noun
भाव,+,0.06944444444444445,0.0,0.9305555555555556,price,166,noun
प्रतिकूलता,-,0.0,0.4375,0.5625,adversity,79,noun
विपरीतपणा,-,0.125,0.3125,0.5625,adverse,79,noun
विपरीतता,-,0.125,0.3125,0.5625,adverse,79,noun
सद्गुण,+,0.625,0.15625,0.21875,virtue,45,noun
गुण,+,0.0763888888888889,0.020833333333333332,0.9027777777777778,score,45,noun
रक्तदान,neutral,0.0625,0.0625,0.875,blood donation,58,noun
विसंगती,-,0.0,0.0625,0.9375,discrepancy,79,noun
असंबद्धता,neutral,0.0,0.0,0.0,unreasonableness,79,noun
असंगती,-,0.125,0.5833333333333334,0.2916666666666667,inconsistent,79,noun
मिलन,+,0.125,0.0,0.875,millennium,61,noun
मिलाफ,-,0.0,0.08333333333333333,0.9166666666666666,combustion,61,noun
मेळ,neutral,0.0,0.0,1.0,coexist,61,noun
असामंजस्यता,-,0.16666666666666666,0.7083333333333334,0.125,unhealthy,81,noun
धाकटा_भाऊ,neutral,0.0625,0.0625,0.875,dare,20,noun
लहान_भाऊ,neutral,0.0,0.0,1.0,il,20,noun
छोटा_भाऊ,neutral,0.1336206896551724,0.16810344827586207,0.6982758620689655,lighter,20,noun
पाठचा_भाऊ,-,0.0,0.16666666666666666,0.8333333333333334,recovery,20,noun
धाकटा,+,0.5,0.0,0.5,talented,20,noun
भाऊ,neutral,0.025,0.0,0.975,brother,20,noun
बंधू,neutral,0.025,0.0,0.975,brothers,20,noun
भ्राता,-,0.0,0.34375,0.65625,misconduct,20,noun
मोठा_भाऊ,neutral,0.0,0.0,0.0,big_,20,noun
थोरला_भाऊ,neutral,0.0,0.0,0.0,thorla_bau,20,noun
दादा,neutral,0.0,0.0,1.0,grandfather,20,noun
अनुत्तीर्ण,neutral,0.15,0.175,0.675,fading,111,adjective
नापास,neutral,0.0,0.0,1.0,napas,111,adjective
फेल,-,0.0,0.2840909090909091,0.7159090909090909,fail,111,adjective
उत्तीर्ण,neutral,0.375,0.375,0.25,passionate,111,adjective
पास,+,0.375,0.10714285714285714,0.5178571428571429,passion,111,adjective
यशस्वी,+,0.625,0.0,0.375,successful,111,adjective
गैरहजर,-,0.125,0.34375,0.53125,absent,111,adjective
अनुपस्थित,-,0.125,0.34375,0.53125,absent,111,adjective
उपस्थित,neutral,0.006944444444444444,0.006944444444444444,0.9861111111111112,present,102,adjective
हजर,neutral,0.0,0.0,1.0,attendance,102,adjective
हाजिर,neutral,0.0,0.0,0.0,hazir,102,adjective
काचेचे_भांडे,neutral,0.0,0.0,0.0,glass_,27,noun
वर्तमान,neutral,0.0,0.0,1.0,current,154,adjective
सद्य,neutral,0.0,0.0,1.0,current,154,adjective
गुणोत्तर,neutral,0.0,0.0,1.0,ratio,47,noun
काजळ_घातलेला,-,0.046875,0.3203125,0.6328125,foul,92,adjective
करार,neutral,0.020833333333333332,0.020833333333333332,0.9583333333333334,contract,52,noun
तडजोड,neutral,0.0,0.05,0.95,compromise,58,noun
समेट,neutral,0.0625,0.0625,0.875,reconciliation,58,noun
ठेका,neutral,0.020833333333333332,0.020833333333333332,0.9583333333333334,contract,52,noun
मक्ता,neutral,0.0,0.041666666666666664,0.9583333333333334,monopoly,52,noun
कंत्राट,neutral,0.020833333333333332,0.020833333333333332,0.9583333333333334,contract,52,noun
सौदा,+,0.125,0.0,0.875,bargain,52,noun
देवाणघेवाण,neutral,0.0,0.0,1.0,recipe,52,noun
देवघेव,neutral,0.0,0.0,0.0,devghev,52,noun
जबाबदारी,+,0.16666666666666666,0.0,0.8333333333333334,responsibility,52,noun
उत्तरदायित्व,neutral,0.125,0.08333333333333333,0.7916666666666666,liability,52,noun
जिम्मेदारी,neutral,0.0,0.0,1.0,gym,52,noun
दायित्व,neutral,0.125,0.08333333333333333,0.7916666666666666,liability,52,noun
जिम्मा,neutral,0.0,0.0,0.0,jimma,52,noun
व्यापार,neutral,0.010416666666666666,0.0,0.9895833333333334,trade,60,noun
व्यवसाय,neutral,0.041666666666666664,0.0,0.9583333333333334,business,60,noun
धंदा,neutral,0.041666666666666664,0.0,0.9583333333333334,business,60,noun
अनुभव,neutral,0.015625,0.03125,0.953125,experience,47,noun
आठवण,neutral,0.0,0.0,1.0,reminder,46,noun
आठव,neutral,0.0,0.0,1.0,eighth,46,noun
स्मृती,neutral,0.025,0.0,0.975,memory,46,noun
स्मरण,neutral,0.0,0.0,1.0,reminder,46,noun
याद,neutral,0.0,0.0,0.0,yad,46,noun
सय,+,0.0625,0.0,0.9375,faculty,46,noun
धुरत,-,0.0,0.5625,0.4375,dusty,46,noun
ज्ञान,neutral,0.0,0.0,1.0,knowledge,47,noun
माहिती,neutral,0.025,0.0,0.975,information,47,noun
अनुभवी,+,0.125,0.0,0.875,veteran,101,adjective
अभिज्ञ,+,0.15625,0.03125,0.8125,identity,101,adjective
भोगणारा,neutral,0.0,0.0,1.0,consumer,92,adjective
भोगी,neutral,0.0,0.0,0.0,to bend,92,adjective
भोक्ता,neutral,0.0,0.0,1.0,consumer,92,adjective
अभोगी,neutral,0.0,0.0,0.0,abhogi,111,adjective
अनुभूती,neutral,0.05263157894736842,0.05263157894736842,0.8947368421052632,feeling,46,noun
भावना,+,0.625,0.0,0.375,emotion,155,noun
मनोविकार,-,0.0,0.625,0.375,psychopathic,155,noun
परवानगी,+,0.125,0.0625,0.8125,permission,46,noun
अनुज्ञा,neutral,0.0,0.041666666666666664,0.9583333333333334,permit,46,noun
अनुमती,neutral,0.0,0.041666666666666664,0.9583333333333334,permit,46,noun
मंजुरी,+,0.34375,0.0,0.65625,approval,61,noun
होकार,+,0.25,0.0,0.75,yes,61,noun
मान्यता,neutral,0.109375,0.078125,0.8125,recognition,61,noun
स्वीकृती,neutral,0.07142857142857142,0.03571428571428571,0.8928571428571429,acceptance,61,noun
अनुमान,neutral,0.09375,0.0625,0.84375,conjecture,47,noun
अंदाज,+,0.1875,0.0625,0.75,estimation,47,noun
अदमास,neutral,0.0,0.0,0.0,admas,47,noun
अजमास,neutral,0.0,0.0,0.0,ajmas,47,noun
अटकळ,neutral,0.09375,0.09375,0.8125,speculation,47,noun
आडाखा,-,0.0,0.25,0.75,stabbing,47,noun
ठोकताळा,-,0.06818181818181818,0.14772727272727273,0.7840909090909091,knock,47,noun
कयास,neutral,0.0,0.0,0.0,what,47,noun
तर्क,+,0.175,0.0,0.825,logic,47,noun
होरा,neutral,0.0,0.0,0.0,hora,47,noun
अडाखा,-,0.09375,0.359375,0.546875,corrupt,47,noun
कल्पना,+,0.15625,0.03125,0.8125,identity,46,noun
समज,+,0.1375,0.0125,0.85,understanding,46,noun
समजूत,+,0.1375,0.0125,0.85,understanding,46,noun
अनुमोदन,+,0.34375,0.0,0.65625,approval,52,noun
समर्थन,neutral,0.05113636363636364,0.028409090909090908,0.9204545454545454,support,52,noun
दुजोरा,-,0.0,0.0625,0.9375,corrosion,52,noun
पाठिंबा,neutral,0.05113636363636364,0.028409090909090908,0.9204545454545454,support,52,noun
प्रतिरोध,-,0.03409090909090909,0.20454545454545456,0.7613636363636364,resistance,52,noun
विरोध,neutral,0.041666666666666664,0.08333333333333333,0.875,conflict,52,noun
अडवणूक,neutral,0.0,0.025,0.975,obstruction,52,noun
अटकाव,neutral,0.0,0.0,1.0,detention,52,noun
अडथळा,neutral,0.0,0.0,1.0,barrier,52,noun
उभयचर,neutral,0.0,0.0,1.0,amphibious,101,adjective
आसक्त,+,0.2692307692307692,0.04807692307692308,0.6826923076923077,rich,101,adjective
मोहित,+,0.4166666666666667,0.125,0.4583333333333333,fascination,101,adjective
लुब्ध,+,0.375,0.0,0.625,famous,101,adjective
आकृष्ट,+,0.0625,0.0,0.9375,faculty,101,adjective
लट्टू,-,0.0,0.6875,0.3125,stubborn,101,adjective
लोलुप,neutral,0.0,0.0,1.0,loop,101,adjective
फिदा,neutral,0.0,0.0,0.0,fida,101,adjective
अनुरक्त,neutral,0.0,0.0,0.0,unaccounted,101,adjective
आशक,-,0.0,0.0625,0.9375,virtually,101,adjective
अनुरत,+,0.125,0.0,0.875,consent,101,adjective
अनुरागी,neutral,0.0,0.0,0.0,anchora,101,adjective
निष्ठावंत,+,0.375,0.0,0.625,loyal,101,adjective
निष्ठावान,+,0.375,0.0,0.625,loyal,101,adjective
परायण,-,0.0,0.125,0.875,abode,101,adjective
कडवा,-,0.09375,0.3645833333333333,0.5416666666666666,bitter,101,adjective
निस्सीम,-,0.0,0.75,0.25,unwilling,101,adjective
कामसू,neutral,0.0,0.0,0.0,kamasu,92,adjective
गुप्तदान,neutral,0.0,0.0,1.0,fraction,62,noun
भक्ती,+,0.21875,0.09375,0.6875,devotion,155,noun
श्रद्धा,neutral,0.0,0.0,1.0,faith,155,noun
निष्ठा,neutral,0.20833333333333334,0.16666666666666666,0.625,loyalty,155,noun
अनेक,neutral,0.125,0.16666666666666666,0.7083333333333334,several,108,adjective
पुष्कळ,neutral,0.0,0.0,1.0,many,108,adjective
नाना,neutral,0.0,0.0,0.0,nana,108,adjective
कैक,neutral,0.0,0.0,0.0,cak,108,adjective
कित्येक,neutral,0.125,0.16666666666666666,0.7083333333333334,several,108,adjective
कितीतरी,neutral,0.0,0.0,1.0,so,108,adjective
बरेच,neutral,0.017857142857142856,0.03571428571428571,0.9464285714285714,a lot,108,adjective
विविध,+,0.225,0.175,0.6,different,108,adjective
तेजोवलय,+,0.26136363636363635,0.19318181818181818,0.5454545454545454,bright,28,noun
प्रेम,+,0.3875,0.0125,0.6,love,155,noun
अनुराग,neutral,0.0,0.0,0.0,anurag,155,noun
प्रीती,+,0.3875,0.0125,0.6,love,155,noun
प्रीत,+,0.3875,0.0125,0.6,love,155,noun
अनुरति,-,0.03125,0.71875,0.25,unhappy,155,noun
स्नेह,+,0.625,0.0,0.375,affectionate,45,noun
ममता,-,0.0,0.625,0.375,compassion,45,noun
एकसमान,neutral,0.041666666666666664,0.0625,0.8958333333333334,uniform,101,adjective
एकसारखा,neutral,0.041666666666666664,0.0625,0.8958333333333334,uniform,101,adjective
तंतोतंत,+,0.4375,0.0,0.5625,precise,101,adjective
हुबेहूब,+,0.20833333333333334,0.0,0.7916666666666666,firmly,101,adjective
समरूप,neutral,0.0,0.0,1.0,syllable,101,adjective
मते,-,0.0,0.1875,0.8125,opinion,95,adverb
प्रमाणे,neutral,0.0125,0.0375,0.95,as,95,adverb
दृष्टीने,neutral,0.0,0.0,1.0,in view,95,adverb
आग्रह,neutral,0.05,0.075,0.875,urge,52,noun
मुदतसमाप्ती_झालेला,neutral,0.0,0.0,0.0,termated,111,adjective
गतावधिक,neutral,0.0,0.0,1.0,overcrowded,111,adjective
प्रार्थना,neutral,0.025,0.0,0.975,prayer,52,noun
विनवणी,neutral,0.0,0.041666666666666664,0.9583333333333334,plea,52,noun
विनंती,neutral,0.05,0.0,0.95,request,52,noun
आर्जव,neutral,0.0,0.0,0.0,arw,52,noun
गयावया,neutral,0.0,0.0,0.0,gayawy,52,noun
अजिजी,neutral,0.0,0.0,0.0,ajizi,52,noun
याचिका,neutral,0.041666666666666664,0.0,0.9583333333333334,petition,27,noun
अर्ज,neutral,0.07142857142857142,0.03571428571428571,0.8928571428571429,application,27,noun
आवेदन,neutral,0.07142857142857142,0.03571428571428571,0.8928571428571429,application,27,noun
अर्जी,neutral,0.0,0.0,1.0,erase,27,noun
अनुवाद,neutral,0.0,0.0,1.0,translation,52,noun
भाषांतर,neutral,0.0,0.0,1.0,translation,52,noun
तरजमा,-,0.041666666666666664,0.10416666666666667,0.8541666666666666,fire,52,noun
तरजुमा,neutral,0.0859375,0.1328125,0.78125,tight,52,noun
तजुमा,neutral,0.0,0.0,0.0,tsuma,52,noun
अनुवादित_रचना,neutral,0.0,0.0,0.0,translated_,27,noun
